港澳频道,#genre#
CCTV9,http://171.108.239.36:8181/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://113.109.119.236:8081/hls/10/index.m3u8
CCTV10,http://61.52.156.33:808/hls/10/index.m3u8
CCTV10,http://123.10.76.188:808/hls/10/index.m3u8
CCTV10,http://123.13.245.241:7000/hls/69/index.m3u8
CCTV10,http://123.160.172.124:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.13.174.77:20443/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://1.193.63.148:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://61.136.67.238:50085/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.108.239.52:8181/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.110.10.19:8181/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.108.239.6:8181/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.108.239.36:8181/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://113.109.119.236:8081/hls/11/index.m3u8
CCTV11,http://61.52.156.33:808/hls/11/index.m3u8
CCTV11,http://123.10.76.188:808/hls/11/index.m3u8
CCTV11,http://123.13.245.241:7000/hls/70/index.m3u8
CCTV11,http://171.13.174.77:20443/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://123.160.172.124:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://1.193.63.148:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://171.108.239.52:8181/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://171.110.10.19:8181/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://171.108.239.6:8181/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://171.108.239.36:8181/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://113.109.119.236:8081/hls/12/index.m3u8
CCTV12,http://61.52.156.33:808/hls/12/index.m3u8
CCTV12,http://123.10.76.188:808/hls/12/index.m3u8
CCTV12,http://123.13.245.241:7000/hls/71/index.m3u8
CCTV12,http://171.13.174.77:20443/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://123.160.172.124:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
