
地方频道,#genre#
生活时尚,http://111.227.207.66:4000/rtp/239.254.201.166:6359?$HEBEI
生活时尚,http://27.190.83.186:7000/rtp/239.254.201.166:6359?$HEBEI
石家庄生活,http://106.119.250.95:8888/rtp/239.254.200.30:6000?$HEBEI
石家庄生活,http://111.227.207.66:4000/rtp/239.254.200.30:6000?$HEBEI
石家庄生活,http://27.190.83.186:7000/rtp/239.254.200.30:6000?$HEBEI
石家庄综合,http://106.119.250.95:8888/rtp/239.254.200.157:6000?$HEBEI
石家庄综合,http://111.227.207.66:4000/rtp/239.254.200.157:6000?$HEBEI
石家庄综合,http://27.190.83.186:7000/rtp/239.254.200.157:6000?$HEBEI
唐山公共,http://106.119.250.95:8888/rtp/239.254.200.169:6000?$HEBEI
唐山公共,http://111.227.207.66:4000/rtp/239.254.200.169:6000?$HEBEI
唐山公共,http://27.190.83.186:7000/rtp/239.254.200.169:6000?$HEBEI
唐山生活,http://106.119.250.95:8888/rtp/239.254.200.167:6000?$HEBEI
唐山生活,http://111.227.207.66:4000/rtp/239.254.200.167:6000?$HEBEI
唐山生活,http://27.190.83.186:7000/rtp/239.254.200.167:6000?$HEBEI
唐山综合,http://106.119.250.95:8888/rtp/239.254.200.166:6000?$HEBEI
唐山综合,http://111.227.207.66:4000/rtp/239.254.200.166:6000?$HEBEI
唐山综合,http://27.190.83.186:7000/rtp/239.254.200.166:6000?$HEBEI
唐县电视,http://106.119.250.95:8888/rtp/239.254.201.41:5264?$HEBEI
唐县电视,http://111.227.207.66:4000/rtp/239.254.201.41:5264?$HEBEI
唐县电视,http://27.190.83.186:7000/rtp/239.254.201.41:5264?$HEBEI
魏县电视,http://106.119.250.95:8888/rtp/239.254.201.148:6211?$HEBEI
魏县电视,http://111.227.207.66:4000/rtp/239.254.201.148:6211?$HEBEI
魏县电视,http://27.190.83.186:7000/rtp/239.254.201.148:6211?$HEBEI
文安电视,http://106.119.250.95:8888/rtp/239.254.201.103:5314?$HEBEI
文安电视,http://111.227.207.66:4000/rtp/239.254.201.103:5314?$HEBEI
文安电视,http://27.190.83.186:7000/rtp/239.254.201.103:5314?$HEBEI
武安电视,http://106.119.250.95:8888/rtp/239.254.201.6:5216?$HEBEI
武安电视,http://111.227.207.66:4000/rtp/239.254.201.6:5216?$HEBEI
武安电视,http://27.190.83.186:7000/rtp/239.254.201.6:5216?$HEBEI
吴桥电视,http://106.119.250.95:8888/rtp/239.254.201.138:5337?$HEBEI
吴桥电视,http://111.227.207.66:4000/rtp/239.254.201.138:5337?$HEBEI
吴桥电视,http://27.190.83.186:7000/rtp/239.254.201.138:5337?$HEBEI
兴隆电视,http://106.119.250.95:8888/rtp/239.254.201.95:5295?$HEBEI
兴隆电视,http://111.227.207.66:4000/rtp/239.254.201.95:5295?$HEBEI
兴隆电视,http://27.190.83.186:7000/rtp/239.254.201.95:5295?$HEBEI
邢台城市生活,http://106.119.250.95:8888/rtp/239.254.200.152:6000?$HEBEI
邢台城市生活,http://111.227.207.66:4000/rtp/239.254.200.152:6000?$HEBEI
邢台城市生活,http://27.190.83.186:7000/rtp/239.254.200.152:6000?$HEBEI
邢台综合,http://106.119.250.95:8888/rtp/239.254.200.150:6000?$HEBEI
邢台综合,http://111.227.207.66:4000/rtp/239.254.200.150:6000?$HEBEI
邢台综合,http://27.190.83.186:7000/rtp/239.254.200.150:6000?$HEBEI
雄县电视,http://106.119.250.95:8888/rtp/239.254.201.94:6254?$HEBEI
雄县电视,http://111.227.207.66:4000/rtp/239.254.201.94:6254?$HEBEI
雄县电视,http://27.190.83.186:7000/rtp/239.254.201.94:6254?$HEBEI
徐水电视,http://106.119.250.95:8888/rtp/239.254.201.147:6260?$HEBEI
